station,lat,lon,ridership_h00,ridership_h01,ridership_h02,ridership_h03,ridership_h04,ridership_h05,ridership_h06,ridership_h07,ridership_h08,ridership_h09,ridership_h10,ridership_h11,ridership_h12,ridership_h13,ridership_h14,ridership_h15,ridership_h16,ridership_h17,ridership_h18,ridership_h19,ridership_h20,ridership_h21,ridership_h22,ridership_h23,ridership_peak,ridership_total
Attiguppe,12.9618581,77.5335932,1.4166666666666667,0.0,0.0,0.0,7.25,91.9375,250.72916666666666,716.3125,1437.6041666666667,1754.0208333333335,1217.3958333333333,770.2916666666666,699.8333333333333,725.875,717.2708333333333,777.2708333333333,911.4166666666667,1234.4166666666667,1512.8541666666665,1483.9375,974.6041666666667,677.0625,389.72916666666663,148.27083333333334,1754.0208333333335,16499.5
BTM Layout,12.916598,77.6086222,15.80811403508772,0.0,0.0,0.0,0.0,2.7774122807017547,60.22587719298245,219.6951754385965,489.86293859649123,542.3958333333334,411.77083333333337,364.390350877193,348.8201754385965,364.82127192982455,360.5625,351.70394736842104,428.0844298245614,516.4780701754386,724.376096491228,830.313596491228,567.9857456140351,387.9901315789474,232.1502192982456,77.41776315789474,830.313596491228,7297.630482456141
Baiyappanahalli,12.9906745,77.652392,10.666666666666666,0.0,0.0,0.0,20.895833333333332,125.85416666666666,397.39583333333337,1030.2291666666665,2255.7291666666665,3125.3125,1904.3541666666665,1142.125,1025.5208333333333,965.5625,972.75,1061.3541666666667,1414.8125,2045.5833333333335,2797.1666666666665,2196.041666666667,1559.0208333333333,1000.6458333333334,529.0625,139.16666666666669,3125.3125,25719.25
Banashankari,12.9152186,77.5736205,8.854166666666668,0.0,0.0,0.0,3.9375,143.375,305.79166666666663,960.4791666666666,1859.2291666666665,2014.0833333333335,1697.9166666666665,1444.625,1345.7083333333335,1400.1041666666667,1275.3958333333333,1266.5416666666667,1518.75,1903.6875,2160.625,2120.9375,1404.2083333333333,890.1875,503.0625,141.29166666666666,2160.625,24368.791666666664
Benniganahalli,12.996496,77.6684788,16.854166666666668,0.0,0.0,0.0,50.270833333333336,259.2291666666667,759.4583333333333,1960.3333333333333,3692.6666666666665,4604.625,3862.208333333333,2719.708333333333,2417.0833333333335,2208.5,2214.1875,2352.270833333333,2955.5625,3875.8958333333335,4662.5,4398.625,3094.375,2030.4583333333335,1143.6875,311.60416666666663,4662.5,49590.10416666667
Beratena Agrahara,12.8635659,77.6581956,1.1469298245614037,0.0,0.0,0.0,0.0,0.7839912280701755,8.733552631578949,33.862938596491226,82.80372807017544,107.82236842105263,85.46271929824562,65.45175438596492,61.24780701754386,62.06469298245614,58.27741228070175,64.14035087719299,81.49122807017544,118.71710526315789,158.14473684210526,118.15021929824562,82.72697368421052,50.90460526315789,29.825657894736842,6.089912280701754,158.14473684210526,1277.8486842105262
Biocon Hebbagodi,12.8285866,77.6815497,4.1875,0.0,0.0,0.0,0.0,1.9155701754385963,27.38377192982456,71.79057017543859,182.79495614035088,180.92763157894737,148.44627192982455,146.734649122807,135.05043859649123,142.95723684210526,150.0076754385965,154.07894736842104,179.85526315789474,234.5964912280702,297.93092105263156,250.12061403508773,175.89144736842104,127.61293859649123,59.97478070175438,25.567982456140353,297.93092105263156,2697.8256578947367
Bommanahalli,12.910304,77.6267043,13.200657894736842,0.0,0.0,0.0,0.0,6.702850877192983,71.73574561403508,229.3793859649123,494.8486842105263,579.8004385964913,477.75,403.093201754386,349.8453947368421,339.5515350877193,363.24890350877195,379.69627192982455,456.0701754385965,564.0361842105262,790.3223684210527,862.1995614035088,565.1896929824561,408.48026315789474,215.640350877193,68.79495614035088,862.1995614035088,7639.586622807017
Central Silk Board,12.9167339,77.6210257,10.5,0.0,0.0,0.0,0.0,6.911184210526316,75.45504385964912,240.9660087719298,549.2401315789473,672.0997807017543,549.9780701754386,478.92872807017545,402.6151315789474,424.43092105263156,426.91008771929825,450.39144736842104,581.9605263157895,739.0021929824561,942.546052631579,960.280701754386,681.4462719298247,425.41666666666663,234.88377192982455,65.04385964912281,960.280701754386,8919.006578947368
Challaghatta,12.897289,77.4612476,9.541666666666666,0.0,0.0,0.0,6.104166666666667,44.916666666666664,163.375,471.33333333333337,1281.8125,1038.9375,741.5,658.4166666666667,605.9583333333333,670.3333333333334,608.0208333333334,679.7291666666666,836.9375,867.3541666666667,958.5416666666666,927.7291666666666,648.625,416.25,242.02083333333331,91.58333333333333,1281.8125,11969.020833333334
Chickpete,12.966924,77.5745737,0.0,0.0,0.0,0.0,1.4166666666666665,49.958333333333336,146.22916666666666,421.625,706.0625,1213.3333333333335,2020.7291666666667,2602.583333333333,2941.9166666666665,2887.3333333333335,3048.916666666667,2942.020833333333,2824.583333333333,2666.2916666666665,2462.8333333333335,2127.7708333333335,1674.0208333333333,851.125,236.97916666666669,44.54166666666667,3048.916666666667,31870.270833333332
Chikkabidarakallu,13.0523847,77.4879224,7.729166666666667,0.0,0.0,0.0,3.8333333333333335,35.64583333333333,117.35416666666667,389.41666666666663,715.9791666666666,730.1666666666667,462.7083333333333,353.2083333333333,335.64583333333337,329.6666666666667,349.41666666666663,353.45833333333337,428.33333333333337,537.4166666666667,670.2291666666666,776.7291666666666,562.25,356.2291666666667,213.95833333333334,92.45833333333334,776.7291666666666,7821.833333333334
